Date,Simple Date,Outdoor Temperature (F),Feels Like (F),Dew Point (F),Wind Speed (mph),Wind Gust (mph),Wind Direction (deg),Rain Rate (in/hr),Daily Rain (in),Relative Pressure (inHg),Humidity (pct),Absolute Pressure (inHg),Soil 1 Battery (V)
2024-06-25T15:18:00-04:00,6/25/2024 15:18,69.4,69.6,61.1,10.1,14.5,288,0,0,29.78,75,29.78,
2024-06-25T15:33:00-04:00,6/25/2024 15:33,69.8,70,61.1,7.8,12.3,289,0,0,29.78,74,29.78,
2024-06-25T15:48:00-04:00,6/25/2024 15:48,70,70.2,61.3,8.5,14.8,283,0,0,29.78,74,29.78,4.7
2024-06-25T16:03:00-04:00,6/25/2024 16:03,71.6,71.7,60.5,11,16.6,291,0,0,29.78,68,29.78,
2024-06-25T16:18:00-04:00,6/25/2024 16:18,71.8,71.8,60.2,11.9,17.2,280,0,0,29.78,67,29.78,
2024-06-25T16:33:00-04:00,6/25/2024 16:33,72.5,72.6,60.9,8.7,12.8,275,0,0,29.78,67,29.78,
2024-06-25T16:48:00-04:00,6/25/2024 16:48,72.7,72.7,60.2,11,15.7,294,0,0,29.78,65,29.78,4.7
2024-06-25T17:03:00-04:00,6/25/2024 17:03,71.8,71.8,60.2,13.4,19.2,295,0,0,29.77,67,29.77,
2024-06-25T17:18:00-04:00,6/25/2024 17:18,71.4,71.4,60.3,12.3,17,299,0,0,29.77,68,29.77,
2024-06-25T17:33:00-04:00,6/25/2024 17:33,71.4,71.4,60.3,12.8,17.9,296,0,0,29.77,68,29.77,
2024-06-25T17:48:00-04:00,6/25/2024 17:48,70.5,70.5,60.2,13,18.3,294,0,0,29.78,70,29.78,4.46
2024-06-25T18:03:00-04:00,6/25/2024 18:03,70.3,70.4,60.4,11.9,15.7,290,0,0,29.78,71,29.78,
2024-06-25T18:18:00-04:00,6/25/2024 18:18,71.1,71.2,60.4,11.2,15,292,0,0,29.78,69,29.78,
2024-06-25T18:33:00-04:00,6/25/2024 18:33,72.1,72,58.8,10.7,15.4,292,0,0,29.78,63,29.78,
2024-06-25T18:48:00-04:00,6/25/2024 18:48,71.6,71.5,59.2,8.7,12.8,288,0,0,29.78,65,29.78,4.7
