SITE,SAMPLE,LATITUDE,LONGITUDE,DEPTH_M,C_CODE,LITHOLOGY,GRAVEL,SAND,SILT,CLAY,MUD,MEAN_PHI,STD DEV,BAY,
1569,TM-49,42.96,-70.51666667,75,msG,MUDDY SANDY GRAVEL,65,20,8,7,15,-1.4,4.18,WELLS BAY,
1570,TM-50,42.94333333,-70.50833333,84,sM,SANDY MUD,0,14,66,20,86,6.2,2.17,WELLS BAY,
1571,TM-51,43.04,-70.53166667,62,mS,MUDDY SAND,0,77,13,10,23,3.9,1.8,WELLS BAY,
1572,TM-52,43.04,-70.55333333,61,sM,SANDY MUD,0,47,28,25,53,5.6,3.42,WELLS BAY,
1573,TM-53,43.04166667,-70.575,40,sG,SANDY GRAVEL,67,30,2,1,3,-1.8,1.72,WELLS BAY,
1574,TM-56,43.04833333,-70.62333333,32,gS,GRAVELLY SAND,13,83,1,3,4,0.8,1.69,WELLS BAY,
1575,TM-58,43.04833333,-70.68666667,20,S,SAND,0,97,2,1,3,2.3,0.65,,
1576,TM-60,43.05333333,-70.65166667,21,G,GRAVEL,87,13,,,0,-2.7,1.34,WELLS BAY,
1577,TM-61,43.05666667,-70.63333333,14,G,GRAVEL,83,14,2,1,3,-2.5,1.63,WELLS BAY,
1578,TM-62,43.05833333,-70.62,24,G,GRAVEL,96,3,,,1,-3,0.84,WELLS BAY,
1579,TM-63,43.05833333,-70.60166667,33,msG,MUDDY SANDY GRAVEL,63,30,5,2,7,-1.9,2.52,WELLS BAY,
1580,TM-64,43.06166667,-70.57833333,40,msG,MUDDY SANDY GRAVEL,51,41,5,3,8,-0.7,3.1,WELLS BAY,
1581,TM-65,43.06833333,-70.55166667,53,mS,MUDDY SAND,3,72,23,2,25,3.5,1.58,WELLS BAY,
1582,TM-66,43.07,-70.52833333,53,msG,MUDDY SANDY GRAVEL,45,45,6,4,10,-0.4,3.11,WELLS BAY,
1583,TM-70,43.105,-70.61166667,15,msG,MUDDY SANDY GRAVEL,79,17,3,1,4,-2.3,2.53,WELLS BAY,
1584,TM-72,43.10666667,-70.565,31,sG,SANDY GRAVEL,61,35,2,2,4,1,2.51,WELLS BAY,
1585,TM-75,43.09,-70.49833333,62,mS,MUDDY SAND,0,88,9,3,12,3.3,0.61,WELLS BAY,
1586,TM-76,43.09,-70.475,62,msG,MUDDY SANDY GRAVEL,66,20,7,7,14,-0.9,3.67,WELLS BAY,
1587,TM-77,43.09,-70.45166667,74,sM,SANDY MUD,0,44,42,14,56,4.9,2.19,WELLS BAY,
1588,TM-78,43.09,-70.44,74,mS,MUDDY SAND,0,63,28,9,37,4,1.52,WELLS BAY,
1589,TM-79,43.09,-70.41666667,80,mS,MUDDY SAND,4,58,21,17,38,4.6,3.12,WELLS BAY,
1590,TM-80,43.09,-70.38833333,89,sM,SANDY MUD,0,20,52,28,80,6.2,2.7,WELLS BAY,
1592,TM-82,43.06166667,-70.705,13,sG,SANDY GRAVEL,42,56,1,1,2,0,2.92,,
1593,TM-82B,43.06833333,-70.70666667,23,S,SAND,3,97,0,0,0,1.5,0.68,,
1594,TM-2-1,43.075,-70.39666667,62,mS,MUDDY SAND,5,77,9,9,18,2.7,2.48,WELLS BAY,
1595,TM-2-9,42.96333333,-70.46166667,96,mS,MUDDY SAND,3,84,7,6,13,2.5,1.93,WELLS BAY,
1596,TM-7-6,43.03666667,-70.385,109,mG,MUDDY GRAVEL,32,19,23,26,49,5,4.13,,
1597,TM-7-7,43.055,-70.42166667,100,sM,SANDY MUD,3,40,37,20,57,5.3,3.16,WELLS BAY,
1598,TM-7-8,43.05166667,-70.33666667,86,mS,MUDDY SAND,2,52,26,20,46,5.1,2.97,,
1600,TM-STA-3,43.02166667,-70.47333333,91,M,MUD,0,10,60,30,90,6.8,2.79,WELLS BAY,
1601,TM-STA-4,43.02,-70.46166667,91,M,MUD,0,5,56,39,95,7.3,2.77,WELLS BAY,
1602,TM-STA-5,43.015,-70.445,94,M,MUD,0,3,52,45,97,7.6,2.66,WELLS BAY,
1603,TM-STA-6,43.00666667,-70.42166667,99,sM,SANDY MUD,0,17,48,35,83,6.4,2.84,WELLS BAY,
1604,TM-STA-8,43.03,-70.435,91,sM,SANDY MUD,0,16,56,28,84,6.2,2.78,WELLS BAY,
1605,TM-STA-9,43.03833333,-70.45333333,91,gM,GRAVELLY MUD,18,17,33,32,65,4.8,5.03,WELLS BAY,
1606,WF-101,42.975,-70.275,,M,MUD,0,1,43,56,99,8.65,2.06,,
1607,WF-102,42.98333333,-70.21666667,,M,MUD,0,2,41,57,98,8.55,2.04,,
1608,WF-103,43,-70.15833333,,M,MUD,0,2,41,57,98,9.15,2.13,,
1609,WF-104,43.00833333,-70.13333333,,M,MUD,0,2,44,54,98,8.38,2.15,,
1610,WF-105,43.06333333,-70.48,,sM,SANDY MUD,0,25,62,13,75,5.47,1.88,WELLS BAY,
1611,WF-106,43.05,-70.43333333,,sM,SANDY MUD,0,25,60,15,75,5.49,2.03,WELLS BAY,
1612,WF-107,43.04166667,-70.405,,sM,SANDY MUD,0,10,54,36,90,7.1,2.59,WELLS BAY,
1613,WF-108,43.00833333,-70.38333333,,M,MUD,0,1,63,35,99,7.38,2.04,,
1614,WF-109,42.98,-70.35333333,,M,MUD,0,1,51,48,99,7.9,2.07,,
1615,WF-202,42.99833333,-70.50333333,,M,MUD,0,6,60,34,94,7.03,2.6,WELLS BAY,
1616,WF-203,42.98333333,-70.45833333,,M,MUD,0,2,67,31,98,7.1,2.27,WELLS BAY,
1617,WF-204,42.97166667,-70.41666667,,M,MUD,0,2,51,47,98,3.75,0.89,,
1618,WF-206,42.95,-70.32,,M,MUD,0,2,52,46,98,7.88,2.05,,
1619,WF-207,42.95333333,-70.37166667,,gmS,GRAVELLY MUDDY SAND,19,55,9,17,26,5.24,2.3,,
1620,WF-208,42.95833333,-70.41666667,,sM,SANDY MUD,3,22,48,27,75,6.42,2.51,,
1621,WF-210,42.96666667,-70.505,,sM,SANDY MUD,0,13,70,17,87,5.84,2.07,WELLS BAY,
1622,WF-211,43.02166667,-70.275,,M,MUD,0,1,47,52,99,7.52,2.96,,
1623,WF-212,43.04333333,-70.31666667,,M,MUD,0,5,50,45,95,7.86,2.37,,
1624,WF-213,43.06333333,-70.35833333,,gmS,GRAVELLY MUDDY SAND,20,43,44,36,37,7.25,2.69,,
1625,WF-214,43.08,-70.395,,gM,GRAVELLY MUD,20,23,29,28,57,6.17,2.72,WELLS BAY,
1626,WF-215,43.09666667,-70.42166667,,mS,MUDDY SAND,1,61,25,13,38,4.8,1.88,WELLS BAY,
1627,WF-216,43.08666667,-70.45833333,,sM,SANDY MUD,0,21,62,17,79,5.64,2.15,WELLS BAY,
1628,WF-301,42.93833333,-70.275,,sM,SANDY MUD,3,20,34,43,77,7.25,2.73,,
1629,WF-302,42.925,-70.23,,gM,GRAVELLY MUD,8,17,30,45,75,7.4,2.81,,
1630,WF-304,42.905,-70.15,,M,MUD,0,1,58,41,99,7.76,2.2,,
1631,WF-305,42.89333333,-70.10333333,,sG,SANDY GRAVEL,45,54,,,1,6.22,2.34,,
1632,WF-306,42.88833333,-70.08833333,,sM,SANDY MUD,2,27,48,23,71,5.94,2.4,,
1633,WF-307,42.88666667,-70.075,,sM,SANDY MUD,1,44,36,19,55,5.54,2.28,,
1634,WF-401,43.11166667,-70.38833333,,sM,SANDY MUD,0,12,61,27,88,6.6,2.45,WELLS BAY,
1635,WF-402,43.09666667,-70.35166667,,gM,GRAVELLY MUD,26,24,24,26,50,5.95,2.71,,
1636,WF-403,43.08,-70.31666667,,M,MUD,0,0,45,55,100,8.51,2.18,,
1637,WF-404,43.06333333,-70.28333333,,M,MUD,0,0,47,53,100,8.4,2.05,,
1638,WF-405,43.04166667,-70.23666667,,M,MUD,0,1,41,58,99,8.7,1.97,,
1639,WF-406,43.06833333,-70.2,,M,MUD,0,0,42,58,100,8.74,1.9,,
1640,WF-407,43.08833333,-70.24166667,,sM,SANDY MUD,1,10,34,55,89,8.09,2.64,,
1641,WF-408,43.10333333,-70.27666667,,M,MUD,0,1,46,53,99,8.3,2.36,,
1642,WF-409,43.12,-70.31166667,,gM,GRAVELLY MUD,13,19,27,42,68,7.21,2.91,,
1643,WF-410,43.13666667,-70.34166667,,M,MUD,0,1,48,51,99,6.51,2.32,,
1644,WF-411,43.15666667,-70.30833333,,M,MUD,0,8,70,22,92,6.32,2.76,,
1645,WF-412,43.14,-70.26666667,,mG,MUDDY GRAVEL,35,11,22,32,54,6.27,2.76,,
1646,WF-413,43.12333333,-70.23333333,,gM,GRAVELLY MUD,12,28,37,33,60,8.11,2.41,,
1647,WF-415,43.10666667,-70.19666667,,M,MUD,0,8,37,55,92,8.3,2.35,,
1648,WF-416,43.09,-70.16333333,,M,MUD,0,1,40,59,99,8.63,1.91,,
1649,WF-501,43.005,-70.245,,M,MUD,0,1,27,72,99,9.03,2.83,,
