sst,ID,bathy,lon,lon
10.287,888575,-14.48865444,-69.93000031,43.74000168
10.273,889675,-13.84048901,-69.91999817,43.74000168
10.258,890775,-24.48749616,-69.91000366,43.74000168
10.243,891875,-25.46085273,-69.90000153,43.74000168
10.227,892975,-22.53693783,-69.88999939,43.74000168
10.212,894075,-20.8290926,-69.87999725,43.74000168
10.197,895175,-13.32311668,-69.87000275,43.74000168
10.182,896275,-8.300154291,-69.86000061,43.74000168
10.068,859976,-5.623699121,-70.19000244,43.75
10.081,861076,-7.003413243,-70.18000031,43.75
10.095,862176,-11.1074708,-70.16999817,43.75
10.109,863276,-9.910004962,-70.16000366,43.75
10.138,865476,-6.699495192,-70.13999939,43.75
10.153,866576,-7.479994823,-70.12999725,43.75
10.215,870976,-14.75272787,-70.08999634,43.75
10.229,872076,-20.66819644,-70.08000183,43.75
10.243,873176,-24.84358326,-70.06999969,43.75
10.267,875376,-23.3173781,-70.05000305,43.75
10.296,880876,-20.60571785,-70,43.75
10.293,883076,-10.91277364,-69.98000336,43.75
10.288,884176,-11.79481192,-69.97000122,43.75
10.282,885276,-16.36190118,-69.95999908,43.75
10.273,886376,-9.519648872,-69.94999695,43.75
10.263,887476,-16.35841589,-69.94000244,43.75
10.252,888576,-12.26144025,-69.93000031,43.75
10.239,889676,-19.87639109,-69.91999817,43.75
10.225,890776,-20.6485414,-69.91000366,43.75
10.211,891876,-24.9068998,-69.90000153,43.75
10.18,894076,-16.31184386,-69.87999725,43.75
10.165,895176,-13.69315396,-69.87000275,43.75
10.134,897376,-3.560344912,-69.84999847,43.75
10.055,859977,-3.90948054,-70.19000244,43.75999832
10.067,861077,-4.300176082,-70.18000031,43.75999832
10.08,862177,-6.677580903,-70.16999817,43.75999832
10.093,863277,-6.849359125,-70.16000366,43.75999832
10.148,867677,-7.695502882,-70.12000275,43.75999832
10.162,868777,-7.15574286,-70.11000061,43.75999832
10.189,870977,-15.84126881,-70.08999634,43.75999832
10.201,872077,-20.53124763,-70.08000183,43.75999832
10.213,873177,-19.32902889,-70.06999969,43.75999832
10.224,874277,-10.21202487,-70.05999756,43.75999832
10.241,876477,-23.86701106,-70.04000092,43.75999832
10.257,880877,-7.515531998,-70,43.75999832
10.257,881977,-17.57384589,-69.98999786,43.75999832
10.244,885277,-13.17797867,-69.95999908,43.75999832
10.236,886377,-11.31626391,-69.94999695,43.75999832
10.227,887477,-14.86772213,-69.94000244,43.75999832
10.216,888577,-11.0159245,-69.93000031,43.75999832
10.204,889677,-15.59081549,-69.91999817,43.75999832
10.191,890777,-17.32470979,-69.91000366,43.75999832
10.177,891877,-22.50870019,-69.90000153,43.75999832
10.163,892977,-15.54505271,-69.88999939,43.75999832
10.148,894077,-16.9683293,-69.87999725,43.75999832
10.133,895177,-11.39443448,-69.87000275,43.75999832
10.041,859978,-1.79078713,-70.19000244,43.77000046
10.052,861078,-1.643100902,-70.18000031,43.77000046
10.076,863278,-4.400704731,-70.16000366,43.77000046
10.089,864378,-4.129344034,-70.15000153,43.77000046
10.114,866578,-1.538109363,-70.12999725,43.77000046
10.126,867678,-3.82092905,-70.12000275,43.77000046
10.139,868778,-7.321337428,-70.11000061,43.77000046
10.151,869878,-9.796367847,-70.09999847,43.77000046
10.162,870978,-12.8554956,-70.08999634,43.77000046
10.173,872078,-16.16526492,-70.08000183,43.77000046
10.183,873178,-19.08326066,-70.06999969,43.77000046
10.192,874278,-9.899692441,-70.05999756,43.77000046
10.2,875378,-16.64437116,-70.05000305,43.77000046
10.206,876478,-19.48694851,-70.04000092,43.77000046
10.212,877578,-17.5841765,-70.02999878,43.77000046
10.219,881978,-9.553751414,-69.98999786,43.77000046
10.217,883078,-11.45764767,-69.98000336,43.77000046
10.191,887478,-10.7811318,-69.94000244,43.77000046
10.181,888578,-9.495670196,-69.93000031,43.77000046
10.169,889678,-8.958129392,-69.91999817,43.77000046
10.157,890778,-12.58076707,-69.91000366,43.77000046
10.144,891878,-12.20592398,-69.90000153,43.77000046
10.13,892978,-23.26216123,-69.88999939,43.77000046
10.115,894078,-13.64045008,-69.87999725,43.77000046
10.082,865479,-2.253456244,-70.13999939,43.77999878
10.093,866579,-1.958045197,-70.12999725,43.77999878
10.104,867679,-4.749532519,-70.12000275,43.77999878
10.115,868779,-4.882514136,-70.11000061,43.77999878
10.136,870979,-9.195534533,-70.08999634,43.77999878
10.145,872079,-13.94991983,-70.08000183,43.77999878
10.154,873179,-11.44888191,-70.06999969,43.77999878
10.161,874279,-14.29643506,-70.05999756,43.77999878
10.168,875379,-13.70417357,-70.05000305,43.77999878
10.173,876479,-14.70120586,-70.04000092,43.77999878
10.177,877579,-17.34178673,-70.02999878,43.77999878
10.18,878679,-14.23415542,-70.01999664,43.77999878
10.18,883079,-11.69829857,-69.98000336,43.77999878
10.176,884179,-5.880484882,-69.97000122,43.77999878
10.164,886379,-6.608702469,-69.94999695,43.77999878
10.146,888579,-11.3798164,-69.93000031,43.77999878
10.098,892979,-26.31306637,-69.88999939,43.77999878
10.062,865480,-1.919518514,-70.13999939,43.79000092
10.082,867680,-2.509382678,-70.12000275,43.79000092
10.092,868780,-2.492731343,-70.11000061,43.79000092
10.101,869880,-3.178358305,-70.09999847,43.79000092
10.11,870980,-8.907852924,-70.08999634,43.79000092
10.118,872080,-11.42746065,-70.08000183,43.79000092
10.125,873180,-6.725382891,-70.06999969,43.79000092
10.132,874280,-13.55135402,-70.05999756,43.79000092
10.137,875380,-14.21670983,-70.05000305,43.79000092
10.141,876480,-7.522868073,-70.04000092,43.79000092
10.144,877580,-14.36081533,-70.02999878,43.79000092
10.147,878680,-14.24105831,-70.01999664,43.79000092
10.148,879780,-10.50720907,-70.01000214,43.79000092
10.141,884180,-10.15948911,-69.97000122,43.79000092
10.103,889680,-7.557412687,-69.91999817,43.79000092
10.092,890780,-5.586638783,-69.91000366,43.79000092
10.08,891880,-3.13790013,-69.90000153,43.79000092
10.067,892980,-15.38952705,-69.88999939,43.79000092
10.054,894080,-21.24075048,-69.87999725,43.79000092
10.069,868781,-1.973138215,-70.11000061,43.79999924
10.077,869881,-4.797235722,-70.09999847,43.79999924
10.084,870981,-8.141201979,-70.08999634,43.79999924
10.091,872081,-6.318568807,-70.08000183,43.79999924
10.103,874281,-8.616626025,-70.05999756,43.79999924
10.107,875381,-12.87030995,-70.05000305,43.79999924
10.113,877581,-8.842975048,-70.02999878,43.79999924
10.115,878681,-12.56621132,-70.01999664,43.79999924
10.115,879781,-12.96422005,-70.01000214,43.79999924
10.115,880881,-7.696730539,-70,43.79999924
10.108,884181,-2.666403475,-69.97000122,43.79999924
10.097,886381,-5.716536546,-69.94999695,43.79999924
10.072,889681,-8.723769468,-69.91999817,43.79999924
