#,Date-Time (EDT),Temperature   (°C),Started,Button Down,Button Up,End of File
274,06/04/2025 13:49:44,30.50,,,,
275,06/04/2025 13:54:44,30.28,,,,
276,06/04/2025 13:59:44,29.90,,,,
277,06/04/2025 14:04:44,29.04,,,,
278,06/04/2025 14:09:44,31.27,,,,
279,06/04/2025 14:14:44,31.27,,,,
280,06/04/2025 14:19:44,31.44,,,,
281,06/04/2025 14:24:44,31.66,,,,
282,06/04/2025 14:29:44,31.92,,,,
283,06/04/2025 14:34:44,32.04,,,,
284,06/04/2025 14:39:44,31.92,,,,
285,06/04/2025 14:44:44,32.17,,,,
286,06/04/2025 14:49:44,32.13,,,,
287,06/04/2025 14:54:44,29.68,,,,
288,06/04/2025 14:59:44,28.05,,,,
289,06/04/2025 15:04:44,27.20,,,,
290,06/04/2025 15:09:44,27.11,,,,
291,06/04/2025 15:14:44,26.72,,,,
292,06/04/2025 15:19:44,26.47,,,,
293,06/04/2025 15:24:44,26.47,,,,
294,06/04/2025 15:29:44,26.30,,,,
295,06/04/2025 15:34:44,26.12,,,,
296,06/04/2025 15:39:44,25.48,,,,
297,06/04/2025 15:44:44,25.31,,,,
298,06/04/2025 15:49:44,25.27,,,,
299,06/04/2025 15:54:44,24.92,,,,
300,06/04/2025 15:59:44,24.62,,,,
301,06/04/2025 16:04:44,24.36,,,,
302,06/04/2025 16:09:44,24.32,,,,
303,06/04/2025 16:14:44,24.49,,,,
304,06/04/2025 16:19:44,24.15,,,,
305,06/04/2025 16:24:44,24.15,,,,
306,06/04/2025 16:29:44,24.15,,,,
307,06/04/2025 16:34:44,23.98,,,,
308,06/04/2025 16:39:44,23.68,,,,
309,06/04/2025 16:44:44,23.55,,,,
310,06/04/2025 16:49:44,23.55,,,,
311,06/04/2025 16:54:44,23.34,,,,
312,06/04/2025 16:59:44,23.21,,,,
313,06/04/2025 17:04:44,22.99,,,,
314,06/04/2025 17:09:44,22.73,,,,
315,06/04/2025 17:14:44,22.52,,,,
316,06/04/2025 17:19:44,22.35,,,,
317,06/04/2025 17:24:44,22.13,,,,
318,06/04/2025 17:29:44,22.01,,,,
319,06/04/2025 17:34:44,21.79,,,,
320,06/04/2025 17:39:44,21.70,,,,
