#,Date-Time (EDT),Temperature   (°C),Light   (lux),Started,Button Down,Button Up,Host Connected,End of File
249,06/03/2025 05:12:35,20.80,1.06,,,,,
250,06/03/2025 05:17:35,20.80,1.49,,,,,
251,06/03/2025 05:22:35,20.80,1.91,,,,,
252,06/03/2025 05:27:35,20.80,2.55,,,,,
253,06/03/2025 05:32:35,20.76,3.19,,,,,
254,06/03/2025 05:37:35,20.72,3.43,,,,,
255,06/03/2025 05:42:35,20.72,4.07,,,,,
256,06/03/2025 05:47:35,20.76,4.92,,,,,
257,06/03/2025 05:52:35,20.76,5.77,,,,,
258,06/03/2025 05:57:35,20.76,7.05,,,,,
259,06/03/2025 06:02:35,20.76,7.71,,,,,
260,06/03/2025 06:07:35,20.76,8.56,,,,,
261,06/03/2025 06:12:35,20.72,9.63,,,,,
262,06/03/2025 06:17:35,20.76,10.48,,,,,
263,06/03/2025 06:22:35,20.72,11.33,,,,,
264,06/03/2025 06:27:35,20.72,284.80,,,,,
265,06/03/2025 06:32:35,20.76,285.68,,,,,
266,06/03/2025 06:37:35,20.80,285.68,,,,,
267,06/03/2025 06:42:35,20.80,286.72,,,,,
268,06/03/2025 06:47:35,20.85,289.28,,,,,
269,06/03/2025 06:52:35,20.85,292.64,,,,,
270,06/03/2025 06:57:35,20.89,291.84,,,,,
271,06/03/2025 07:02:35,20.85,285.04,,,,,
272,06/03/2025 07:07:35,20.93,247.36,,,,,
273,06/03/2025 07:12:35,21.06,277.12,,,,,
274,06/03/2025 07:17:35,21.10,290.96,,,,,
275,06/03/2025 07:22:35,21.10,260.96,,,,,
276,06/03/2025 07:27:35,21.10,296.96,,,,,
277,06/03/2025 07:32:35,21.10,298.64,,,,,
278,06/03/2025 07:37:35,21.06,298.64,,,,,
279,06/03/2025 07:42:35,21.15,298.64,,,,,
280,06/03/2025 07:47:35,21.10,296.96,,,,,
281,06/03/2025 07:52:35,21.10,297.76,,,,,
282,06/03/2025 07:57:35,21.15,302.08,,,,,
283,06/03/2025 08:02:35,21.15,300.32,,,,,
284,06/03/2025 08:07:35,19.82,3526.40,,,,,
285,06/03/2025 08:12:35,20.68,1517.44,,,,,
286,06/03/2025 08:17:35,19.05,5432.32,,,,,
287,06/03/2025 08:22:35,22.95,35297.28,,,,,
288,06/03/2025 08:27:35,26.85,37570.56,,,,,
289,06/03/2025 08:32:35,28.48,38318.08,,,,,
290,06/03/2025 08:37:35,29.90,39034.88,,,,,
291,06/03/2025 08:42:35,28.57,3032.32,,,,,
292,06/03/2025 08:47:35,28.44,6179.84,,,,,
293,06/03/2025 08:52:35,22.18,6922.24,,,,,
294,06/03/2025 08:57:35,20.59,4866.56,,,,,
295,06/03/2025 09:02:35,19.30,5383.68,,,,,
296,06/03/2025 09:07:35,18.66,5639.68,,,,,
297,06/03/2025 09:12:35,18.62,6364.16,,,,,
298,06/03/2025 09:17:35,19.35,6766.08,,,,,
299,06/03/2025 09:22:35,19.60,9556.48,,,,,
300,06/03/2025 09:27:35,22.61,20433.92,,,,,
301,06/03/2025 09:32:35,24.58,17300.48,,,,,
302,06/03/2025 09:37:35,27.50,22302.72,,,,,
303,06/03/2025 09:42:35,29.38,19302.40,,,,,
304,06/03/2025 09:47:35,30.63,16911.36,,,,,
305,06/03/2025 09:52:35,31.61,17587.20,,,,,
306,06/03/2025 09:57:35,33.42,19128.32,,,,,
307,06/03/2025 10:02:35,34.57,26122.24,,,,,
308,06/03/2025 10:07:35,35.95,45649.92,,,,,
309,06/03/2025 10:12:35,36.72,62443.52,,,,,
310,06/03/2025 10:17:35,38.01,65679.36,,,,,
311,06/03/2025 10:22:35,39.51,68403.20,,,,,
312,06/03/2025 10:27:35,39.47,70983.68,,,,,
313,06/03/2025 10:32:35,39.42,73502.72,,,,,
314,06/03/2025 10:37:35,39.85,75468.80,,,,,
315,06/03/2025 10:42:35,40.45,76922.88,,,,,
316,06/03/2025 10:47:35,41.70,78090.24,,,,,
317,06/03/2025 10:52:35,41.83,79278.08,,,,,
318,06/03/2025 10:57:35,42.43,80240.64,,,,,
319,06/03/2025 11:02:35,43.84,80670.72,,,,,
320,06/03/2025 11:07:35,44.31,81838.08,,,,,
321,06/03/2025 11:12:35,46.37,83148.80,,,,,
322,06/03/2025 11:17:35,45.99,84418.56,,,,,
323,06/03/2025 11:22:35,46.20,85729.28,,,,,
324,06/03/2025 11:27:35,46.67,86466.56,,,,,
325,06/03/2025 11:32:35,46.76,86917.12,,,,,
326,06/03/2025 11:37:35,45.56,87203.84,,,,,
327,06/03/2025 11:42:35,45.17,86917.12,,,,,
328,06/03/2025 11:47:35,45.51,86753.28,,,,,
329,06/03/2025 11:52:35,44.57,87162.88,,,,,
330,06/03/2025 11:57:35,45.90,87449.60,,,,,
331,06/03/2025 12:02:35,46.76,87859.20,,,,,
332,06/03/2025 12:07:35,47.10,87736.32,,,,,
333,06/03/2025 12:12:35,46.63,87326.72,,,,,
334,06/03/2025 12:17:35,45.99,87900.16,,,,,
335,06/03/2025 12:22:35,45.51,88842.24,,,,,
336,06/03/2025 12:27:35,44.66,89169.92,,,,,
337,06/03/2025 12:32:35,44.23,89292.80,,,,,
338,06/03/2025 12:37:35,44.44,89210.88,,,,,
339,06/03/2025 12:42:35,45.00,89088.00,,,,,
340,06/03/2025 12:47:35,45.26,89210.88,,,,,
341,06/03/2025 12:52:35,46.20,89456.64,,,,,
342,06/03/2025 12:57:35,45.77,89333.76,,,,,
343,06/03/2025 13:02:35,47.06,89128.96,,,,,
344,06/03/2025 13:07:35,46.63,88719.36,,,,,
345,06/03/2025 13:12:35,46.12,87900.16,,,,,
346,06/03/2025 13:17:35,45.73,86835.20,,,,,
347,06/03/2025 13:22:35,46.37,86794.24,,,,,
348,06/03/2025 13:27:35,46.24,85688.32,,,,,
349,06/03/2025 13:32:35,47.06,85196.80,,,,,
350,06/03/2025 13:37:35,45.77,84623.36,,,,,
351,06/03/2025 13:42:35,47.06,84172.80,,,,,
352,06/03/2025 13:47:35,46.72,83210.24,,,,,
353,06/03/2025 13:52:35,45.13,83476.48,,,,,
354,06/03/2025 13:57:35,44.70,82780.16,,,,,
355,06/03/2025 14:02:35,44.79,81899.52,,,,,
356,06/03/2025 14:07:35,42.47,80793.60,,,,,
357,06/03/2025 14:12:35,42.25,80322.56,,,,,
358,06/03/2025 14:17:35,43.33,79482.88,,,,,
359,06/03/2025 14:22:35,42.77,78581.76,,,,,
360,06/03/2025 14:27:35,42.77,77414.40,,,,,
361,06/03/2025 14:32:35,41.35,76533.76,,,,,
362,06/03/2025 14:37:35,41.01,75878.40,,,,,
363,06/03/2025 14:42:35,41.01,75141.12,,,,,
364,06/03/2025 14:47:35,41.87,74301.44,,,,,
365,06/03/2025 14:52:35,41.44,76390.40,,,,,
366,06/03/2025 14:57:35,44.14,75960.32,,,,,
367,06/03/2025 15:02:35,42.13,73256.96,,,,,
368,06/03/2025 15:07:22,,,,Logged,Logged,,
369,06/03/2025 15:07:35,42.68,3463.68,,,,,
370,06/03/2025 15:07:39,,,,,,Logged,
371,06/03/2025 15:12:35,45.00,72990.72,,,,,
372,06/03/2025 15:17:35,44.96,73666.56,,,,,
373,06/03/2025 15:22:35,40.71,71352.32,,,,,
374,06/03/2025 15:27:35,38.65,60538.88,,,,,
375,06/03/2025 15:32:35,39.89,68198.40,,,,,
376,06/03/2025 15:37:35,41.74,59228.16,,,,,
377,06/03/2025 15:42:35,36.03,24238.08,,,,,
378,06/03/2025 15:47:35,27.80,9889.28,,,,,
379,06/03/2025 15:52:35,24.45,8371.20,,,,,
380,06/03/2025 15:57:35,23.03,8079.36,,,,,
381,06/03/2025 16:02:35,22.05,7846.40,,,,,
382,06/03/2025 16:07:35,21.70,7198.72,,,,,
383,06/03/2025 16:12:35,21.15,6272.00,,,,,
384,06/03/2025 16:17:35,20.46,5690.88,,,,,
