"day","daily.wattemp","daily.ws","daily.wd","daily.airtemp","daily.pres","daily.vis","gauge.mm"
2023-06-22,14.5351851851852,1.378494425,76.4184397163121,14.7792253521127,1026.10559859155,12966.3874377224,0
2023-06-23,14.6347222222222,1.40013815257732,77.9381443298969,15.1783505154639,1020.07487972509,12122.4677430556,0
2023-06-24,14.7678240740741,1.89449089180887,155.958904109589,19.5457337883959,1014.15174061433,11732.2826279863,0
2023-06-25,15.0215277777778,0.915880236393443,78.4666666666667,20.8062295081967,1009.0773442623,8099.48521311475,5.8
2023-06-26,16.0451388888889,1.880938434375,71.443661971831,19.3538194444444,1011.75527777778,14113.8914583333,0
2023-06-27,16.2631944444444,2.49168742875399,94.0390879478827,17.3319488817891,1011.36159744409,8464.48115015975,20.3
2023-06-28,16.0405092592593,2.84648044271523,164.21768707483,18.9814569536424,1011.06831125828,12264.587218543,0.5
2023-06-29,16.3194444444444,1.75950141693811,131.245901639344,19.0214983713355,1013.4619218241,7602.44618892508,4.6
2023-06-30,16.99375,1.39587112410423,96.6,18.7153094462541,1018.62127035831,7434.69745928339,0.2
2023-07-01,17.0569444444444,1.1131963909699,75.9121621621622,19.3391304347826,1019.76488294314,9861.94210702341,0.5
2023-07-02,16.825,1.33392872532051,106.058631921824,18.7294871794872,1016.22458333333,5698.47080128205,0.5
2023-07-03,16.7564814814815,1.03735066151316,53.7837837837838,18.4302631578947,1011.09453947368,10765.1349013158,37.1
2023-07-04,16.1960648148148,0.661176349828179,58.8275862068966,21.2931271477663,1012.48945017182,14788.2678350515,5.3
2023-07-05,15.9037037037037,0.854738859533074,91.394422310757,21.6031128404669,1013.52322957198,10383.7267578125,3
2023-07-06,16.1546296296296,1.0920342368231,75.7454545454545,24.0252707581227,1014.00888086643,15053.4667509025,0
2023-07-07,16.1666666666667,1.72599924710145,99.0942028985507,23.3902173913043,1012.02315217391,15510.3444927536,0
2023-07-08,16.2516203703704,1.327267326,95.9866220735786,21.0273333333333,1012.51346666667,10871.1184333333,0.2
2023-07-09,16.3875,0.976628351111111,68.0891719745223,19.9063492063492,1012.87057142857,7185.84917460318,0.5
2023-07-10,16.4780092592593,1.51384363949045,90.1628664495114,19.3624203821656,1012.31171974522,10527.3651273885,0.8
2023-07-11,16.6585648148148,1.43467251320132,87.2,19.1521452145215,1008.81867986799,10495.2600990099,9.1
2023-07-12,16.9261574074074,1.21579197086331,67.9710144927536,22.371582733813,1010.93723021583,16087.6510071942,0.8
2023-07-13,17.0800925925926,1.16023698297872,68.1720430107527,22.8808510638298,1013.00829787234,14250.1133333333,0.01
2023-07-14,16.8858796296296,1.965396125,139.035714285714,23.2795774647887,1013.29813380282,16082.1066197183,0.5
2023-07-15,17.0840277777778,1.3378651957958,102.987804878049,21.8945945945946,1015.79042042042,11406.7694894895,14.7
2023-07-16,17.1282407407407,2.16901008648649,124.817073170732,22.3018018018018,1014.45477477477,6910.9966966967,0.01
2023-07-17,16.9034722222222,2.44154462122186,170.13201320132,22.675884244373,1011.11504823151,9424.49459807074,26.7
2023-07-18,17.5011574074074,1.2118797966443,72.7609427609428,21.6204697986577,1014.70120805369,10981.8834899329,0
2023-07-19,17.637962962963,1.24532244530744,116.35761589404,23.0860841423948,1013.87996763754,13734.1112944984,0
2023-07-20,17.7743055555556,0.569007016666667,48.5328185328185,21.6132575757576,1015.85534090909,14599.92,2.8
2023-07-21,17.6296296296296,0.965265497173145,60.1067615658363,18.7201413427562,1012.47088339223,14757.0590812721,0
2023-07-22,17.7949074074074,1.38609518837209,79.6245733788396,19.6382059800664,1008.34906976744,11526.0574086379,6.1
2023-07-23,17.8039351851852,0.822753021951219,78.0851063829787,20.9752613240418,1011.11341463415,12225.687630662,0
2023-07-24,17.6638888888889,1.21316809850746,78.7313432835821,22.0216417910448,1017.30444029851,16087.435,0
2023-07-25,17.6361111111111,1.78508442894737,110.610687022901,23.5244360902256,1018.19285714286,15682.0287969925,0
2023-07-26,17.8229166666667,1.248071825,85.6382978723404,23.530985915493,1016.52158450704,14342.6389045936,0
2023-07-27,17.3125,1.63653060362319,118.168498168498,22.6322463768116,1014.25844202899,13326.6519927536,0
2023-07-28,17.4465277777778,1.11910917947761,76.6792452830189,23.9231343283582,1011.25175373134,10240.7322846442,9.4
2023-07-29,17.6074074074074,1.3210204975,91.6363636363636,24.0089285714286,1010.07685714286,15254.2822142857,0
2023-07-30,18.4671296296296,1.385740125,160.230769230769,18.2014084507042,1008.51302816901,13142.503943662,11.9
2023-07-31,17.4925925925926,0.789971262172285,75.381679389313,18.3614232209738,1012.2856928839,16069.3300374532,0
2023-08-01,17.2627314814815,0.553232197222222,70.4098360655738,18.0055555555556,1016.54023809524,15908.2377380952,4.6
2023-08-02,16.4587962962963,0.406474824691358,49.746835443038,16.3004115226337,1021.7141563786,16093.44,0
2023-08-03,15.7405092592593,1.69143181666667,85.0763358778626,17.5200757575758,1020.56837121212,16093.44,0
2023-08-04,14.8381944444444,3.26583687137931,186.573426573427,19.7741379310345,1015.581,15527.394862069,2
2023-08-05,15.24375,1.02723523697749,84.6078431372549,19.3154340836013,1013.91890675241,13095.9724115756,15.7
2023-08-06,15.7733796296296,1.05209743157895,124.440154440154,19.7781954887218,1014.50116541353,15796.9820676692,0
2023-08-07,16.1111111111111,0.512539349259259,48.3271375464684,19.1625925925926,1015.46351851852,15229.1630740741,0
2023-08-08,15.8694444444444,2.56332307266436,102.622377622378,19.5702422145329,1010.09795847751,12898.4191349481,7.6
