"metar_date","wind_dir","wind_speed","tempr","dewpt","press","vis"
2023-06-29 20:50:00,106.951841359773,1.61216745780068,18.5627406568516,17.0582672706682,1014.69659682899,8950.72310305776
2023-06-29 20:55:00,106.900849858357,1.61175744802887,18.5627406568516,17.0588335220838,1014.6956398641,8956.19086070215
2023-06-29 21:00:00,106.85552407932,1.61134758959009,18.5627406568516,17.0593997734994,1014.69468289921,8961.65861834655
2023-06-29 21:05:00,106.810198300283,1.6109375309329,18.5627406568516,17.0599660249151,1014.69372593431,8966.21508493771
2023-06-29 21:10:00,106.776203966006,1.6105270382046,18.5627406568516,17.0605322763307,1014.69276896942,8968.94896375991
2023-06-29 21:15:00,106.814058956916,1.61011537430094,18.5636260623229,17.0611331444759,1014.69418696884,8965.82423229462
2023-06-29 21:20:00,106.785714285714,1.60970351115507,18.5636260623229,17.0611331444759,1014.69322946176,8967.64785269122
2023-06-29 21:25:00,106.763038548753,1.60929121435696,18.5636260623229,17.0611331444759,1014.69227195467,8969.47147308782
2023-06-29 21:30:00,106.702549575071,1.60887804064423,18.5627406568516,17.0610985277463,1014.68989807475,8973.50543035108
2023-06-29 21:35:00,106.668555240793,1.60846443336586,18.562174405436,17.0610985277463,1014.68894110985,8973.50543035108
2023-06-29 21:40:00,106.695011337868,1.60805092548203,18.562492917847,17.0611331444759,1014.69035694051,8969.47147308782
2023-06-29 21:45:00,106.660997732426,1.60763610178871,18.5619263456091,17.0611331444759,1014.68939943343,8969.47147308782
2023-06-29 21:50:00,106.626984126984,1.6072199622859,18.5613597733711,17.0611331444759,1014.68863456091,8969.47147308782
2023-06-29 21:55:00,106.65910380034,1.6068036261502,18.5616780045351,17.0611678004535,1014.69005102041,8965.43294217687
2023-06-29 22:00:00,106.619398752127,1.60638656300339,18.5611111111111,17.0611678004535,1014.68909297052,8965.43294217687
2023-06-29 22:05:00,106.574021554169,1.60596848204101,18.5605442176871,17.0611678004535,1014.68813492063,8965.43294217687
2023-06-29 22:10:00,106.539988655701,1.60554938326306,18.559977324263,17.0611678004535,1014.68717687075,8965.43294217687
2023-06-29 22:10:00,106.500283607487,1.60512950159697,18.559410430839,17.0611678004535,1014.6860260771,8965.43294217687
2023-06-29 22:15:00,106.466250709019,1.60470844929434,18.558843537415,17.0611678004535,1014.68487528345,8965.43294217687
2023-06-29 22:20:00,106.486946651532,1.60428608564282,18.5591605218378,17.0612024957459,1014.68609756098,8961.38982983551
2023-06-29 22:25:00,106.452894438138,1.60386363269993,18.5585933068633,17.0612024957459,1014.68494611458,8961.38982983551
2023-06-29 22:30:00,106.413166855846,1.60344045274593,18.5580260918888,17.0612024957459,1014.68379466818,8961.38982983551
2023-06-29 22:35:00,106.433844406587,1.60301699190127,18.5583427922815,17.06123723042,1014.68501702611,8957.34212826334
2023-06-29 22:40:00,106.405451448041,1.60259373679132,18.5577752553916,17.06123723042,1014.68386492622,8957.34212826334
2023-06-29 22:45:00,106.377058489495,1.6021691660451,18.5572077185017,17.06123723042,1014.68251986379,8957.34212826334
2023-06-29 22:50:00,106.316685584563,1.60174386787326,18.5563244469654,17.0612024957459,1014.6799546228,8961.38982983551
2023-06-29 22:55:00,106.293984108967,1.60131877314088,18.5557572319909,17.0612024957459,1014.67861032331,8962.30267158253
2023-06-29 23:00:00,106.233692569484,1.60089250790808,18.5548752834467,17.0611678004535,1014.67604875283,8966.34526643991
2023-06-29 23:05:00,106.193987521271,1.60046580902304,18.5543083900227,17.0611678004535,1014.67451247166,8969.08224489796
2023-06-29 23:10:00,106.142938173568,1.60003946049145,18.5543083900227,17.0611678004535,1014.67297619048,8972.73155328798
2023-06-29 23:15:00,106.082766439909,1.59961410131315,18.5539943342776,17.0611331444759,1014.67041926346,8976.7659490085
2023-06-29 23:20:00,106.09756097561,1.5991883083961,18.5543083900227,17.0611678004535,1014.6714399093,8978.20551020408
2023-06-29 23:25:00,106.052183777652,1.5987620817403,18.5537414965986,17.0611678004535,1014.66990362812,8983.67946712018
2023-06-29 23:30:00,106.006806579694,1.59833575762698,18.5537414965986,17.0611678004535,1014.66836734694,8990.06575396825
2023-06-29 23:35:00,105.961429381736,1.59790855824822,18.5531746031746,17.0611678004535,1014.66683106576,8995.53971088435
2023-06-29 23:40:00,105.910380034033,1.59748210153797,18.5531746031746,17.0611678004535,1014.66548752834,9001.01366780045
