"loc_id","date","site_name","site_id","bay_location","week","month","year","green crab","northern pipefish","shorthorn sculpin","tomcod","winter flounder","atlantic cod","sandlance","hake","mummichog","atlantic silverside","banded killifish","alewife","atlantic herring","striped bass","white hake","pollock","rock gunnel","unID sculpin","american shad","atlantic menhaden","unID shiner","smallmouth bass","bluefish","ninespine stickleback","red hake","spotted hake","longhorn sculpin","threespine stickleback","river herring","white sucker","blueback herring","smelt","horseshoe crab","common dab","largemouth bass","american eel","northern puffer","lumpfish","white mullet","mullet","golden shiner","emerald shiner","slimy sculpin","grubby sculpin","striped sculpin","unID sturgeon","shortnose sturgeon","periwinkle","butterfish","unID gunnel","shortfin squid","permit","crevalle jack","substrate","do_mg.l","salinity_ppt","temp_degc","TideHT.m","numeric.tide","shannon","simpson","logcrab","logshannon"
"2014_005_06","2014-07-08","Mackworth Island - North",6,"Mid",28,7,2014,1,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud/shell",9.3,31.93,16.2,2.42833333333333,0.867299229922992,1.15374194270109,0.612244897959184,1,1.1292559276726
"2014_005_09","2014-07-08","Great Diamond Island",9,"Outer",28,7,2014,0,0,0,0,0,0,0,0,0,0,0,0,24914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sand/gravel",8.2,30.34,16,2.65633333333333,0.961358635863586,0,0,0,0
"2014_005_10","2014-07-08","SMCC",10,"Outer",28,7,2014,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sand/gravel",8.5,32.19,14.6,1.5375,0.499793729372937,0.673011667009257,0.48,1.71176985940971,0.714198944561229
"2014_006_02","2014-07-17","Skitterygusset",2,"Inner",29,7,2014,3,0,0,0,0,0,0,0,0,0,0,929,0,0,0,0,0,0,0,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud",9,3.36,25.2,2.44766666666667,0.77313376635602,0.34128189610835,0.179033849783764,1.39038917031591,0.401001745771054
"2014_006_04","2014-07-17","Mussel Cove",4,"Mid",29,7,2014,0,0,0,0,0,0,0,0,0,2,0,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud",9.4,33.3,19.4,3.235,0.995481502400452,0.453350961713525,0.220385674931129,0,0.510468984680296
"2014_006_07","2014-07-17","Mackworth Island - Beach",7,"Mid",29,7,2014,58,0,0,0,1,0,0,0,0,0,0,56,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sand/shell",9.7,32.32,18.1,3.021,0.935046597006495,0.956703815519892,0.577536,3.38086942640191,0.963076709184751
"2014_006_08","2014-07-17","Back Cove",8,"Mid",29,7,2014,1,0,0,0,1,0,0,0,0,0,0,55,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud",8.8,32,15.6,1.65866666666667,0.550315353478302,0.442448663271601,0.206035379812695,1,0.500015485020064
"2014_006_11","2014-07-17","Cushing Island",11,"Outer",29,7,2014,33,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud",8.7,31.83,17.2,0.735,0.289466252471053,0.339878830414062,0.155864197530864,2.8546586347325,0.399600016817459
"2014_006_12","2014-07-17","Alewife Cove",12,"Outer",29,7,2014,1,0,1,0,2,0,114,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"gravel",10,30.6,13.9,-0.0393333333333333,0.0707897957262544,0.718353981093521,0.430803231214754,1,0.754897048742584
"2014_007_01","2014-07-22","Presumpscot Moorings",1,"Inner",30,7,2014,1,0,0,0,0,0,0,0,0,2,0,37,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"gravel",7.8,0.36,24.6,2.22466666666667,0.816323613493425,0.628052563300838,0.309135802469136,1,0.673436410534561
"2014_007_03","2014-07-22","Audubon",3,"Inner",30,7,2014,0,0,0,0,0,0,0,0,31,26,0,85,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sand",8.5,7.25,22.9,1.97266666666667,0.708261863922241,1.18189319957689,0.634754045825989,0,1.15263419274485
"2014_007_05","2014-07-22","The Brothers - North",5,"Mid",30,7,2014,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud/shell",9.9,33.42,18,1.56533333333333,0.533590623213265,0.474139313057837,0.297520661157025,0,0.530298100168437
"2014_007_06","2014-07-22","Mackworth Island - North",6,"Mid",30,7,2014,4,0,1,0,1,0,0,0,0,0,0,16,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"gravel",9.6,33.48,16,2.525,0.945111492281304,0.520457957644461,0.249503022434987,1.5157165665104,0.57402103205343
"2014_007_09","2014-07-22","Great Diamond Island",9,"Outer",30,7,2014,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sand/gravel",9,31.06,16.1,2.63333333333333,0.991566609491138,0,0,1.39038917031591,0
"2014_007_10","2014-07-22","SMCC",10,"Outer",30,7,2014,1,0,0,0,6,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sand/gravel",8.4,28.64,17.4,2.6445,0.997934910174235,1.22277931619347,0.6796875,1,1.18644024878746
"2014_008_02","2014-08-01","Skitterygusset",2,"Inner",31,8,2014,5,0,0,0,4,0,0,0,198,93,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud",7.3,2.61,25.3,1.02683333333333,0.333140506491837,0.854462200385868,0.49131555772475,1.62065659669276,0.87486073845154
