"species_name","year","Group","lambda","week","mu","ll","ul","overlap","Linf","agemax","range","coverage"
"atlantic herring",2017,"1",0.741359241918675,27,60.7288759405589,45.1544201854006,76.3033316957172,0,430,20,31.1489115103166,0.0724393290937596
"atlantic herring",2017,"1",0.889682011363663,28,63.7561497797991,55.8259343713634,71.6863651882348,0,430,20,15.8604308168715,0.0368847228299336
"atlantic herring",2017,"1",0.875777633555993,31,63.0811903775094,56.840488680138,69.3218920748807,0,430,20,12.4814033947426,0.0290265195226573
"atlantic herring",2017,"2",0.124222366444007,31,75.508977560753,72.5089627341168,78.5089923873892,0,430,20,6.00002965327238,0.0139535573331916
"atlantic herring",2018,"1",1,24,58.5655777863716,51.7157938313928,65.4153617413504,0,430,20,13.6995679099576,0.0318594602557154
"atlantic herring",2018,"1",1,26,62.1232237681574,40.5491380060541,83.6973095302607,0,430,20,43.1481715242066,0.100344584940015
"atlantic herring",2018,"1",1,28,75.712854686214,63.757633304084,87.6680760683441,0,430,20,23.9104427642601,0.0556056808471165
"atlantic herring",2018,"1",1,32,97.4052275906537,87.110892578943,107.699562602364,0,430,20,20.5886700234215,0.0478806279614453
"atlantic herring",2020,"1",1,26,58.8933347697652,47.1875395799611,70.5991299595693,0,430,20,23.4115903796082,0.0544455590223447
"atlantic herring",2020,"1",1,28,66.2166125525913,54.2528453608812,78.1803797443015,0,430,20,23.9275343834203,0.0556454287986518
"atlantic herring",2020,"1",1,30,72.1690559298774,54.8659148043344,89.4721970554205,0,430,20,34.606282251086,0.0804797261653163
"atlantic herring",2020,"1",1,36,89.7740853351586,68.1289322273327,111.419238442985,0,430,20,43.2903062156518,0.100675130734074
"atlantic herring",2021,"1",0.351476670205697,23,52.3909331196569,46.6689511439039,58.11291509541,67.740222429247,430,20,11.4439639515062,0.0266138696546655
"atlantic herring",2021,"2",0.648523329794303,23,64.0034188156486,50.3607484599369,77.6460891713603,0,430,20,27.2853407114234,0.0634542807242405
"atlantic herring",2021,"1",0.802873245644568,25,54.2328243778597,42.1810716256729,66.2845771300466,15.6938534298837,430,20,24.1035055043737,0.0560546639636597
"atlantic herring",2021,"2",0.197126754355432,25,77.9137745924211,62.5018083047262,93.3257408801159,0,430,20,30.8239325753897,0.0716835641288133
"atlantic herring",2021,"1",1,26,55.3995955950475,47.5548658389478,63.2443253511473,0,430,20,15.6894595121995,0.0364871151446499
"atlantic herring",2021,"1",1,27,56.3905850713407,45.8931175006918,66.8880526419896,0,430,20,20.9949351412978,0.0488254305611577
"atlantic herring",2021,"1",1,28,61.9259171213618,43.7776940168774,80.0741402258461,0,430,20,36.2964462089686,0.0844103400208573
"atlantic herring",2021,"1",0.426426520459536,29,16.4913872946419,13.0808202730332,19.9019543162507,0,430,20,6.82113404321745,0.0158631024260871
"atlantic herring",2021,"2",0.573573479540464,29,35.559885380252,24.0273629067813,47.0924078537227,0,430,20,23.0650449469413,0.0536396394114915
