"date","sst","min","max","sd","range","year","month","hold"
2004-04-01,2.69918086956522,2.52199999999999,2.83100000000002,0.0651149504817903,0.309000000000026,"2004",4,2025-04-01
2004-04-02,3.27199304347826,3.18400000000003,3.34300000000002,0.0387070200480468,0.158999999999992,"2004",4,2025-04-02
2004-04-03,3.38532347826087,3.28399999999999,3.46899999999999,0.0459285885827629,0.185000000000002,"2004",4,2025-04-03
2004-04-04,3.00829217391304,2.85300000000001,3.14100000000002,0.0654831536010952,0.288000000000011,"2004",4,2025-04-04
2004-04-05,3.28346956521739,3.07900000000001,3.41899999999998,0.0916555741958417,0.339999999999975,"2004",4,2025-04-05
2004-04-06,3.27929739130435,2.97699999999998,3.45699999999999,0.109076293873458,0.480000000000018,"2004",4,2025-04-06
2004-04-07,3.3586347826087,2.93900000000002,3.77800000000002,0.157899161269229,0.838999999999999,"2004",4,2025-04-07
2004-04-08,3.48770434782609,2.98500000000001,3.83800000000002,0.137594932316498,0.853000000000009,"2004",4,2025-04-08
2004-04-09,3.62936869565217,3.37900000000002,3.96600000000001,0.125444490802451,0.586999999999989,"2004",4,2025-04-09
2004-04-10,3.88380173913044,3.65499999999997,4.13499999999999,0.0970362139937378,0.480000000000018,"2004",4,2025-04-10
2004-04-11,4.01362608695652,3.79399999999998,4.46199999999999,0.122453707449433,0.668000000000006,"2004",4,2025-04-11
2004-04-12,4.05334608695652,3.80799999999999,4.48099999999999,0.111364487179246,0.673000000000002,"2004",4,2025-04-12
2004-04-13,4.11365739130435,3.88200000000001,4.38600000000002,0.0987536397784388,0.504000000000019,"2004",4,2025-04-13
2004-04-14,4.43885913043478,4.16199999999998,4.65499999999997,0.110949258496464,0.492999999999995,"2004",4,2025-04-14
2004-04-15,4.82996695652174,4.51800000000003,4.95100000000002,0.0871737658745387,0.432999999999993,"2004",4,2025-04-15
2004-04-16,4.96905043478261,4.66800000000001,5.24299999999999,0.125210968571078,0.574999999999989,"2004",4,2025-04-16
2004-04-17,4.99946782608696,4.84100000000001,5.24900000000002,0.0968296679236969,0.408000000000015,"2004",4,2025-04-17
2004-04-18,5.10039826086957,4.95499999999998,5.22399999999999,0.0536613753322185,0.269000000000005,"2004",4,2025-04-18
2004-04-19,5.78000173913043,5.404,5.99900000000002,0.1170682147123,0.595000000000027,"2004",4,2025-04-19
2004-04-20,6.23781391304348,5.58800000000002,6.67099999999999,0.2608422203509,1.08299999999997,"2004",4,2025-04-20
2004-04-21,6.10211652173913,5.43900000000002,6.53399999999999,0.269061458184862,1.09499999999997,"2004",4,2025-04-21
2004-04-22,6.0838852173913,5.476,6.50900000000001,0.25051315426647,1.03300000000002,"2004",4,2025-04-22
2004-04-23,6.06976347826087,5.65800000000002,6.33199999999999,0.127344342593882,0.673999999999978,"2004",4,2025-04-23
2004-04-24,6.08108695652174,5.726,6.59699999999998,0.227100093253401,0.870999999999981,"2004",4,2025-04-24
2004-04-25,6.04502956521739,5.48199999999997,6.86799999999999,0.390593121968697,1.38600000000002,"2004",4,2025-04-25
2004-04-26,5.96915304347826,5.58299999999997,6.48399999999998,0.263284343489003,0.90100000000001,"2004",4,2025-04-26
2004-04-27,6.0226852173913,5.61399999999998,6.31799999999998,0.167207428316536,0.704000000000008,"2004",4,2025-04-27
2004-04-28,5.94395130434783,5.40899999999999,6.78300000000002,0.344199755218099,1.37400000000002,"2004",4,2025-04-28
2004-04-29,5.95073391304348,5.26499999999999,6.88299999999998,0.377841532258524,1.61799999999999,"2004",4,2025-04-29
2004-04-30,6.26498086956522,5.50900000000001,6.62900000000002,0.301934098739809,1.12,"2004",4,2025-04-30
2004-05-01,6.48107652173913,6.20699999999999,6.66399999999999,0.0946801201133333,0.456999999999994,"2004",5,2025-05-01
2004-05-02,6.45574956521739,6.31799999999998,6.57600000000002,0.0580184690255484,0.258000000000038,"2004",5,2025-05-02
2004-05-03,6.37903304347826,6.06900000000002,6.54199999999997,0.112192097985897,0.472999999999956,"2004",5,2025-05-03
2004-05-04,6.31560173913044,5.87299999999999,6.55700000000002,0.172751345937166,0.684000000000026,"2004",5,2025-05-04
2004-05-05,6.46646782608696,5.91399999999999,7.32400000000001,0.350451503588181,1.41000000000003,"2004",5,2025-05-05
2004-05-06,6.5631547826087,6.089,7.50400000000002,0.352318669164324,1.41500000000002,"2004",5,2025-05-06
2004-05-07,6.95398260869565,6.33800000000002,7.66199999999998,0.356254621159798,1.32399999999996,"2004",5,2025-05-07
2004-05-08,7.14445217391304,6.36099999999999,7.84100000000001,0.424786104065257,1.48000000000002,"2004",5,2025-05-08
2004-05-09,7.24430956521739,6.42000000000002,7.779,0.359848411990632,1.35899999999998,"2004",5,2025-05-09
2004-05-10,7.31867130434782,7.02800000000002,7.53100000000001,0.117682994699009,0.502999999999986,"2004",5,2025-05-10
2004-05-11,7.31622608695652,6.69499999999999,7.863,0.289673553523562,1.16800000000001,"2004",5,2025-05-11
2004-05-12,7.92942260869565,7.30900000000003,8.35599999999999,0.264501899593657,1.04699999999997,"2004",5,2025-05-12
2004-05-13,7.98886956521739,7.27800000000002,8.53399999999999,0.304622783862956,1.25599999999997,"2004",5,2025-05-13
2004-05-14,8.12405391304348,7.476,8.59399999999999,0.259667890707778,1.11799999999999,"2004",5,2025-05-14
