"date","mean.sst","min.sst","max.sst","sd","ten","nine","month","year","doy"
2025-03-18,3.64952695652174,3.44200000000001,3.89100000000002,0.12297547510644,3.48500000000001,3.8196,3,2025,77
2025-03-19,4.10557217391304,3.90899999999999,4.35300000000001,0.0997159446008276,3.97899999999998,4.24599999999998,3,2025,78
2025-03-20,4.86463130434783,4.48199999999997,5.363,0.211818301254999,4.58499999999998,5.16060000000001,3,2025,79
2025-03-21,4.11830608695652,3.82799999999997,4.33499999999998,0.0891553290503489,4.0128,4.23859999999999,3,2025,80
2025-03-22,4.08552,3.65899999999999,4.31,0.0978350806025917,3.96079999999998,4.20499999999998,3,2025,81
2025-03-23,4.03558782608696,3.64800000000002,4.21499999999997,0.0956626195822351,3.908,4.1386,3,2025,82
2025-03-24,3.91330608695652,3.50799999999998,4.14499999999998,0.141636183888785,3.70699999999999,4.08720000000002,3,2025,83
2025-03-25,3.2356452173913,2.84699999999998,3.71899999999999,0.249061428495801,2.91899999999998,3.5928,3,2025,84
2025-03-26,3.23921913043478,2.72899999999998,3.73899999999998,0.246578002830908,2.90100000000001,3.5576,3,2025,85
2025-03-27,3.43733217391304,2.90100000000001,3.84899999999999,0.148155944508984,3.25679999999998,3.63059999999998,3,2025,86
2025-03-28,3.6294,3.22300000000001,3.87799999999999,0.136304831053933,3.43240000000001,3.80559999999999,3,2025,87
2025-03-29,3.72061217391304,3.30399999999997,3.96699999999998,0.136685340947501,3.524,3.88099999999997,3,2025,88
2025-03-30,3.53826260869565,3.23500000000001,3.77499999999998,0.122605237069817,3.3672,3.69520000000002,3,2025,89
2025-03-31,3.54705739130435,3.11399999999998,3.81999999999999,0.171378033885354,3.2894,3.75360000000001,3,2025,90
2025-04-01,3.78227304347826,3.21199999999999,4.012,0.1683489828339,3.5314,3.976,4,2025,91
2025-04-02,3.81437913043478,3.21199999999999,4.05799999999999,0.178036578424441,3.5516,4.01400000000001,4,2025,92
2025-04-03,3.90092,3.50299999999999,4.077,0.119241259257893,3.73059999999999,4.04700000000003,4,2025,93
2025-04-04,4.26125217391304,3.80599999999998,4.59500000000003,0.185005614543217,4.00379999999999,4.53680000000002,4,2025,94
2025-04-05,4.47204695652174,4.00400000000002,4.94900000000001,0.231653839328348,4.16899999999998,4.75299999999999,4,2025,95
2025-04-06,4.46788695652174,4.02999999999997,4.79899999999998,0.186123238799482,4.19499999999999,4.71119999999999,4,2025,96
2025-04-07,4.23074782608696,3.98199999999997,4.387,0.0914883175914757,4.10319999999999,4.34899999999999,4,2025,97
2025-04-08,3.88347478260869,3.84100000000001,3.91500000000002,0.0179272331110294,3.858,3.90600000000001,4,2025,98
2025-04-09,3.63053217391304,3.58600000000001,3.67399999999998,0.0204774523226944,3.601,3.65699999999998,4,2025,99
2025-04-10,3.57007652173913,3.51999999999998,3.62299999999999,0.0240036521990113,3.536,3.601,4,2025,100
2025-04-11,3.62449739130435,3.59399999999999,3.69900000000001,0.0220346474908724,3.60199999999998,3.65899999999999,4,2025,101
2025-04-12,3.69479478260869,3.66699999999997,3.77499999999998,0.0278262335911142,3.66899999999998,3.7406,4,2025,102
2025-04-13,4.09780173913043,4.02199999999999,4.20100000000002,0.0325984276961237,4.05099999999999,4.1386,4,2025,103
2025-04-14,4.32681565217391,4.07799999999997,4.53699999999998,0.117311242552226,4.19,4.50200000000001,4,2025,104
2025-04-15,4.70745739130435,4.16699999999997,5.09399999999999,0.243242135374927,4.3558,5.0124,4,2025,105
2025-04-16,4.8037252173913,4.25200000000001,5.166,0.186769392289198,4.53300000000002,5.04259999999999,4,2025,106
2025-04-17,4.71701043478261,4.36200000000002,4.97800000000001,0.12307719693999,4.53439999999999,4.85899999999998,4,2025,107
2025-04-18,4.69662260869565,4.38900000000001,5.06400000000002,0.127514425679015,4.52800000000002,4.85519999999999,4,2025,108
2025-04-19,4.90188173913044,4.697,5.21600000000001,0.134433421718779,4.74400000000003,5.1026,4,2025,109
2025-04-20,4.90274608695652,4.77800000000002,4.97199999999998,0.0388640740541049,4.84800000000001,4.94900000000001,4,2025,110
2025-04-21,5.29861739130435,5.23700000000002,5.34399999999999,0.0263152896722557,5.25900000000001,5.33100000000002,4,2025,111
2025-04-22,5.51685739130435,5.358,5.59399999999999,0.0579012180865015,5.43200000000002,5.58299999999997,4,2025,112
2025-04-23,5.63131652173913,5.40100000000001,5.80200000000002,0.0850854703819095,5.51239999999999,5.74599999999998,4,2025,113
2025-04-24,6.4283147826087,6.00099999999998,7.08600000000001,0.216752488238083,6.1894,6.721,4,2025,114
2025-04-25,6.22451652173913,5.93900000000002,6.80900000000003,0.196364721425804,6.03899999999999,6.54640000000001,4,2025,115
2025-04-26,5.82324695652174,5.625,6.03399999999999,0.100236036174812,5.6874,5.96360000000001,4,2025,116
2025-04-27,5.91591652173913,5.49400000000003,6.37700000000001,0.202897134959171,5.66279999999998,6.21140000000002,4,2025,117
2025-04-28,5.98877565217391,5.50999999999999,6.524,0.218825882046747,5.7196,6.3056,4,2025,118
2025-04-29,6.47677391304348,6.06999999999999,6.71100000000001,0.153807702742141,6.23339999999999,6.64999999999998,4,2025,119
2025-04-30,6.69421739130435,6.47399999999999,6.90300000000002,0.109573530480828,6.54239999999999,6.846,4,2025,120
2025-05-01,7.37489391304348,6.93799999999999,7.81,0.190589853377013,7.13299999999998,7.6338,5,2025,121
2025-05-02,7.59253913043478,7.13799999999998,8.04700000000003,0.2016083020073,7.3294,7.8668,5,2025,122
2025-05-03,7.68114260869565,7.23599999999999,8.12299999999999,0.200221786026033,7.41880000000001,7.9566,5,2025,123
2025-05-04,7.7658852173913,7.346,8.17000000000002,0.1888391108815,7.5178,8.02339999999999,5,2025,124
2025-05-05,7.35696695652174,7.10199999999998,7.60300000000001,0.109214891999439,7.21699999999998,7.50419999999999,5,2025,125
2025-05-06,7.4944747826087,7.23000000000002,7.76299999999998,0.118435764388636,7.34440000000001,7.661,5,2025,126
2025-05-07,7.63716173913043,7.37099999999998,7.90899999999999,0.124497386440117,7.4784,7.81400000000002,5,2025,127
2025-05-08,7.6130452173913,7.34699999999998,7.88799999999998,0.123546707332053,7.45640000000001,7.7888,5,2025,128
2025-05-09,7.31678608695652,7.07400000000001,7.58100000000002,0.110833653557004,7.178,7.47000000000003,5,2025,129
2025-05-10,6.52974086956522,6.32299999999998,6.76299999999998,0.097532880094822,6.39939999999999,6.6626,5,2025,130
