"","doy","smooth.daily","smooth.upper","smooth.lower"
"92",242,16.9615522237008,17.1333932619798,16.7897111854217
"93",243,16.9039910959972,17.081142453898,16.7268397380964
"94",244,16.845919156744,17.0279678882708,16.6638704252172
"95",245,16.78856637057,16.9740778356035,16.6030549055365
"96",246,16.7331623105221,16.9198232419169,16.5465013791274
"97",247,16.6805465339947,16.8656440334917,16.4954490344977
"98",248,16.6304367160077,16.8118296766119,16.4490437554036
"99",249,16.5823500416071,16.7588128462786,16.4058872369356
"100",250,16.5358036958387,16.707148144062,16.3644592476154
"101",251,16.4903148637484,16.6573953763296,16.3232343511673
"102",252,16.4454007303822,16.6099636372881,16.2808378234764
"103",253,16.4005784807859,16.5649317312776,16.2362252302943
"104",254,16.3553653000055,16.5219095649381,16.1888210350729
"105",255,16.3092783730868,16.4800145811964,16.1385421649773
"106",256,16.2618348850758,16.4379771240986,16.085692646053
"107",257,16.2125520210184,16.3943138071627,16.0307902348741
"108",258,16.1609469659604,16.3474938717993,15.9744000601215
"109",259,16.1065369049478,16.2960653920109,15.9170084178847
"110",260,16.0488602046999,16.2387989944068,15.8589214149931
"111",261,15.9878354853383,16.1755589740009,15.8001119966757
"112",262,15.92371027601,16.1072710190766,15.7401495329433
"113",263,15.8567429508788,16.0352471840442,15.6782387177134
"114",264,15.7871918841087,15.9611567144766,15.6132270537409
"115",265,15.7153154498636,15.8869639512568,15.5436669484704
"116",266,15.6413720223074,15.8147142461244,15.4680297984903
"117",267,15.5656199756039,15.7461381496807,15.385101801527
"118",268,15.488317683917,15.6822442015267,15.2943911663073
"119",269,15.4097235214107,15.6231896717997,15.1962573710217
"120",270,15.3300958622488,15.5685008928533,15.0916908316443
"121",271,15.2496930805952,15.5174209957177,14.9819651654728
"122",272,15.1687735506139,15.4691661122048,14.868380989023
"123",273,15.0875956464687,15.4230427232777,14.7521485696597
